"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PARTNUMBER";"PRICE";"PROD_ID";"VALUE";
"3V3BUS";"";"M04X2";"2X4";".1" header, two rows of four.";"";"";"";"";"";"";"";"";"";"";"";
"5VBUS";"";"M04X2";"2X4";".1" header, two rows of four.";"";"";"";"";"";"";"";"";"";"";"";
"ADDR_LED";"";"M03POLAR";"MOLEX-1X3";"Header 3";"";"";"";"";"";"";"";"";"";"";"";
"ADDR_SET_A/G";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";"";"";"";"";"";"";"";
"ADDR_SET_MAG";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"";"";"";"";"";"";"";"";"";"";"";"";
"ANALOG_IN";"";"M04X2";"2X4";".1" header, two rows of four.";"";"";"";"";"";"";"";"";"";"";"";
"ANALOG_OUT";"";"M021X02_NO_SILK";"1X02_NO_SILK@1";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";
"BATTERY";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";
"BATT_CHARGING";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for production use";"";"";"";"";"";"unknown";"";"";"";"DIO-08575";"BLUE";
"C3";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF/50V";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C5";"22uF/63V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C6";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C8";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"";"";"";"";"";"";"";"CAP-00811";"10uF";
"C9";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"";"";"";"";"";"";"";"";"";"CAP-00811";"10uF";
"C10";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"";"";"";"";"";"";"";"";"";"CAP-11015";"10uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"unknown";"";"";"";"CAP-00810";"0.1uF";
"C12";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C13";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C14";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"unknown";"";"";"";"CAP-00810";"0.1uF";
"C15";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
