"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PART_#";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";
"BW_SEL_HIGHT_RES";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C2";"4.7uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C8";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C9";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C12";"22p";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"unknown";"";"";"";"";"";"";"";
"C13";"22p";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"unknown";"";"";"";"";"";"";"";
"C14";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C15";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C16";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"";"";"1nF";
"C17";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C18";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C19";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C20";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"";"";"1nF";
"C21";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C22";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C23";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C24";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C25";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C26";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C27";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C28";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C29";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C30";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C31";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C32";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C33";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"";"";"1nF";
"C34";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C35";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C36";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C37";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C38";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C39";"22uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C40";"4.7uF";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-10300";"";"";"4.7uF";
"C41";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"CAP_CHARGING_CURRENT";"ACS723";"ACS723";"SO08";"";"";"";"";"";"";"";"";"";"ACS723ACS723LLCTR-05AB-T2";"";"IC-13872";"";"";"";
"D1";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"DIO-09886";"";"";"3A/40V/500mV";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"RED";
"D3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"";"GREEN";
"D4";"MMSZ5242/12v ";"DIODE-ZENER-MMSZ5232BS";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"DIO-12442";"";"";"5.6V";
"D5";"3A/40V/500mV";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"DIO-09886";"";"";"3A/40V/500mV";
"D6";"1N4148WS";"1N4148WS";"SOD323";"http://octopart.com/1n4148ws-fairchild+semiconductor-7851016";"Unavailable";"";" Diode Switching 75V 0.3A 2-Pin SOD-323 T/R ";"ON Semiconductor";"1N4148WS";"";"";"S-0 Good-Ark";"";"None";"";"";"";"";
"D7";"1N4148WS";"1N4148WS";"SOD323";"http://octopart.com/1n4148ws-fairchild+semiconductor-7851016";"Unavailable";"";" Diode Switching 75V 0.3A 2-Pin SOD-323 T/R ";"ON Semiconductor";"1N4148WS";"";"";"S-0 Good-Ark";"";"None";"";"";"";"";
"FB1";"600Ω/1.8A";"FERRITE_BEAD-0603";"0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"NDUC-13805";"";"";"30Ω/1.8A";
"H_MOS";"BSC018N04";"BSC018N04";"TRANS_BSC076N06NS3-G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"SWPA3012S4R7MT";"L-USL3230M";"L3230M";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"L";"";
"L2";"SWPA3012S4R7MT";"L-USL3230M";"L3230M";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"L";"";
"L3";"WHC1265-10UH";"WHC1265-10UH";"WHC1265-10UH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LM5050";"LM5050";"LM5050";"TSOT-23-6-SOT-23-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L_MOS";"BSC018N04";"BSC018N04";"TRANS_BSC076N06NS3-G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MOSFEL1";"BSC018N04";"BSC018N04";"TRANS_BSC076N06NS3-G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MOTOR_MOS";"IRF4905S";"IRF4905S";"D2PAK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MP2451";"MP2451";"MP2451";"TSOT-23-6-SOT-23-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MP2451(2)";"MP2451";"MP2451";"TSOT-23-6-SOT-23-6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MTR_OUT_CURRENT1";"ACS723";"ACS723";"SO08";"";"";"";"";"";"";"";"";"";"ACS723ACS723LLCTR-05AB-T2";"";"IC-13872";"";"";"";
"PROGRAMMER";"BM04B-GHS-TBT";"BM04B-GHS-TBT";"BM04B-GHS-TBT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"S8050/25v 500mW";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q2";"NPN";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q3";"NPN";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R2";"10K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R3";"100K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R4";"124K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R5";"40.2k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R6";"16.2k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R7";"1.69k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R8";"16.2k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R9";"1.69k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R10";"16.2k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R11";"1.69k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R12";"1k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R13";"1k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R14";"100";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R15";"10k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R16";"100";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R17";"100K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R18";"124K";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R19";"8.87k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R20";"470";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R21";"470";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R22";"220";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R23";"220";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";" ";"";"";" ";
"R24";"10K";"RESISTOR0402";"C0402";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"10K";"RESISTOR0402";"C0402";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R26";"10K";"RESISTOR0402";"C0402";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R27";"10K";"RESISTOR0402";"C0402";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TOTAL_BAT_CURRENT";"ACS723";"ACS723";"SO08";"";"";"";"";"";"";"";"";"";"ACS723ACS723LLCTR-05AB-T2";"";"IC-13872";"";"";"";
"TO_BAT";"XT60PW-M";"XT60PW-M";"AMASS_XT60PW-M";"";"Unavailable";"";" ";"AMASS";"XT60PW-M ";"";"";"Package Analog Devices";"";"None";"";"";"";"";
"TO_CAP";"XT60PW-M";"XT60PW-M";"AMASS_XT60PW-M";"";"Unavailable";"";" ";"AMASS";"XT60PW-M ";"";"";"Package Analog Devices";"";"None";"";"";"";"";
"TO_MOTOR";"XT60PW-M";"XT60PW-M";"AMASS_XT60PW-M";"";"Unavailable";"";" ";"AMASS";"XT60PW-M ";"";"";"Package Analog Devices";"";"None";"";"";"";"";
"U$1";"STM32F334K8T";"STM32F334K8T";"QFP80P900X900X160-32N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"MP1907GQ-Z";"MP1907GQ-Z";"QFN10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"DUAL-OPTOISOLATOR_SOIC8";"DUAL-OPTOISOLATOR_SOIC8";"SO08";"Optocoupler, Phototransistor Output, Dual Channel";"";"";"";"";"";"";"";"";"";"";"IC-09076";"";"";"";
"USART";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"S3B-PH-SM4_TB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"16MHz";"CRYSTAL-16MHZSMD-5X3.2";"CRYSTAL-SMD-5X3.2-4PAD";"16MHz Crystal";"";"";"";"";"";"";"";"";"";"";"XTAL-08218";"COM-00094";"";"16MHz";
