3.3V_BUCK	19.43	10.54	270.00	SOIC8E	SOIC127P600X170-9N
C19	21.72	27.05	90.00	0.1uF	0603
C20	15.37	9.27	90.00	0.1uF	0603
C21	8.00	5.84	180.00	0.1uF	0603
C22	20.19	16.26	90.00	0.1uF	0603
C23	18.03	2.92	0.00	0.1uF	0603
C24	21.84	19.43	180.00	0.22uF	0603
D10	23.88	27.05	90.00	5.1V	SOD-323
D11	11.81	8.00	90.00	3A/40V/500mV	SMA-DIODE
R55	6.48	24.26	0.00	100	0603
R56	12.32	40.89	90.00	100	0603
R57	17.14	24.00	180.00	100	0603
R58	17.14	22.35	180.00	100	0603
R59	6.48	20.83	0.00	100	0603
R60	6.48	22.61	0.00	100	0603
R61	16.26	28.70	90.00	100	0603
R62	21.84	30.99	270.00	100	0603
R63	10.16	33.91	270.00	1k	0603
R64	19.56	30.99	90.00	1k	0603
R65	27.94	33.91	270.00	1k	0603
R66	26.54	24.13	0.00	47k	0603
R67	23.37	13.84	270.00	1k	0603
R68	16.89	16.26	90.00	10k	0603
R69	18.67	16.26	270.00	10k	0603
R70	21.72	5.97	0.00	10k	0603
R71	21.72	16.26	90.00	10k	0603
R72	25.91	13.08	180.00	5.25k	RES_0805
R73	26.04	20.07	90.00	0	0603
U$38	11.81	24.89	270.00	PIC16F676	PIC16F676
U$39	8.26	15.49	0.00	4.7UH_INDUCTOR	4.7UH_INDUCTOR
U$40	7.87	40.77	180.00	SOT_223	BC856BMB
U$41	16.76	40.89	180.00	SOT_223	BC856BMB
U$42	25.65	40.01	180.00	SOT_223	BC856BMB
VR1	27.40	26.92	90.00	10k	TRIMPOT-SMD-TC33X
